you,ты
exception,исключение
ultimately,в конечном счете
pablo,Пабло
compromise,компромисс
majority,большинство
journal,журнал
signals,сигналы
bent,согнутый
dock,док
meg,Мэг
essential,существенный
campbell,Кэмпбелл
climate,климат
experiments,эксперименты
ink,чернила
magazines,журналы
rivers,реки
teresa,Тереза
administration,администрация
passionate,страстный
precise,точный
lawn,лужайка
via,с помощью
jeans,джинсы
murmuring,бормотание
resort,прибегнуть
announced,объявлено
buddha,Будда
fries,картофель фри
capacity,емкость
lena,Лена
opponent,противник
chains,цепи
minus,минус
caitlyn,Кейтлин
apples,яблоки
angie,Энджи
seattle,Сиэтл
aww,оууу
instrument,инструмент
healing,выздоровление
convention,соглашение
messenger,посланник
explore,исследовать
sonia,Соня
versus,против
survivor,выживший
ruled,правил
boyd,Бойд
clarence,Кларенс
madison,Мэдисон
cough,кашель
experts,эксперты
disguise,маскировка
archer,лучник
bicycle,велосипед
noises,шумы
inviting,приглашая
pregnancy,беременность
declared,заявил
yi,йи
vicky,Вики
drums,барабаны
wooden,деревянный
innocence,невиновность
mouths,рты
bees,пчелы
creaking,скрип
cloth,ткань
sasha,Саша
unh,хм
skies,небо
painter,художник
allies,союзники
miguel,Мигель
pond,пруд
runway,ВПП
robbie,Робби
assist,помогать
lana,Лана
presented,представлен
mona,Мона
sickness,болезнь
civilian,гражданский
fighters,бойцы
facebook,Фейсбук
customs,таможня
florence,Флоренция
remembers,помнит
sharks,акулы
juliet,Джульетта
shrimp,креветка
tore,порвал
seventh,седьмой
ou,ОУ
avoiding,избегание
dawson,Доусон
isaac,Исаак
rolled,свернутый
championship,чемпионат
household,семья
float,плавать
chad,Чад
ballet,балет
cracking,растрескивание
raj,радж
possessed,одержимый
harmless,безвредный
curiosity,любопытство
vicious,беспощадный
officials,должностные лица
glove,перчатка
nearest,ближайший
manny,Мэнни
begged,умолял
que,очередь
withdraw,отзывать
shocking,шокирующий
guessed,догадался
nightmares,кошмары
greedy,жадный
forehead,лоб
corps,корпус
pirates,пираты
rudy,грубый
reservation,бронирование
hunters,охотники
fog,туман
flu,грипп
good-looking,хорошо выглядит
hint,намекать
peanut,арахис
stark,резкий
gamble,рисковать
erin,Эрин
autumn,осень
bracelet,браслет
contain,содержать
arrogant,высокомерный
simpson,Симпсон
piper,волынщик
knocks,стучит
sperm,сперма
gesture,жест
materials,материалы
lindsay,Линдси
alexis,Алексис
ticking,тиканье
standards,стандарты
ribs,ребра
receipt,квитанция
regards,с уважением
whatsoever,что бы то ни было
homeland,Родина
leap,прыгнуть
targets,цели
snoring,храп
damon,Дэймон
leaf,лист
jar,банка
brooke,Брук
proposed,предложенный
savage,дикий
caring,заботливый
ivy,плющ
approximately,примерно
d.,д.
kidnap,похитить
carries,несет
bounce,подпрыгивать
creek,ручей
pony,пони
cleaner,очиститель
businessman,бизнесмен
ha-ha,ха-ха
lunatic,сумасшедший
unlikely,вряд ли
gal,девчонка
situations,ситуации
colony,колония
sells,продает
choi,Чой
chambers,палаты
volume,объем
sweets,сладости
panties,трусики
respects,уважает
reads,читает
seeds,семена
engage,привлекать
explosives,взрывчатка
stewart,Стюарт
violet,фиолетовый
mutual,взаимный
lighting,осветительные приборы
scores,баллы
lenny,Ленни
savings,сбережения
beware,остерегаться
stephanie,Стефани
educated,образованный
complaints,жалобы
cassie,Кэсси
doomed,обречен
offensive,оскорбительный
harvest,урожай
qualified,квалифицированный
relaxed,расслабленный
cape,мыс
buffalo,буйвол
triple,тройной
fireworks,фейерверк
palmer,Палмер
armor,броня
poverty,бедность
leadership,лидерство
rode,ехал
ambition,амбиция
cakes,торты
trousers,брюки
bean,боб
melt,таять
racist,расистский
bam,бам
ankle,лодыжка
occupied,оккупированный
nicer,приятнее
correctly,правильно
terrifying,ужасающий
hugh,Хью
gasp,задыхаться
villain,злодей
willy,Вилли
marc,Марк
draft,черновик
factor,фактор
whew,вот так
countess,графиня
portrait,портрет
suggests,предлагает
font,шрифт
blair,Блэр
learnt,научился
pencil,карандаш
coordinates,координаты
collapsed,рухнул
reserve,бронировать
jeffrey,Джеффри
shirts,рубашки
umbrella,зонтик
stevie,Стиви
ta,та
traveled,путешествовал
auto,авто
logical,логичный
chew,жевать
eliminate,устранять
beverly,Беверли
carbon,углерод
cancelled,отменен
crawling,ползать
stepping,шагая
independence,независимость
medium,середина
canceled,отменен
tess,Тэсс
fanny,Фанни
seated,сидящий
upbeat,оптимистичный
asian,азиат
drowning,тонуть
messy,неряшливый
quest,квест
represents,представляет
fletcher,Флетчер
memorial,мемориал
doyle,Дойл
stressed,подчеркнутый
bearing,несущий
watches,часы
spoon,ложка
cooperation,сотрудничество
tucker,такер
earthquake,землетрясение
sailing,парусный спорт
involve,вовлекать
houston,Хьюстон
asia,Азия
spectacular,зрелищный
reliable,надежный
it-,это-
breach,нарушение
sophisticated,сложный
echo,эхо
indicate,указывать
swamp,болото
vehicles,транспортные средства
manual,руководство
elegant,элегантный
compound,сложный
serves,служит
scares,пугает
rattling,грохот
pursue,преследовать
dreamt,мечтал
stefan,Стефан
revolutionary,революционный
wa,ва
rig,буровая установка
convincing,убедительный
fiona,Фиона
tribal,племенной
cleveland,Кливленд
lex,Лекс
depth,глубина
blaming,обвинять
aids,СПИД
elaine,Элейн
wakes,просыпается
occur,происходить
1st,1-й
camping,Отдых на природе
fart,пердеть
stamp,печать
kathy,Кэти
assassin,убийца
approved,одобренный
crucial,ключевой
annual,ежегодный
torch,факел
dallas,Даллас
fulfill,выполнить
bon,Бон
resting,отдыхает
reunion,воссоединение
witnessed,был свидетелем
graduated,закончил
sub,суб
howling,вой
clyde,Клайд
hospitals,больницы
stall,ларек
legacy,наследие
otto,отто
riot,бунт
shops,магазины
whereabouts,местонахождение
teenager,подросток
samuel,Сэмюэл
squealing,визг
mines,мины
danced,танцевал
crowded,переполненный
orleans,Орлеан
literature,литература
3rd,3-й
morgue,морг
strongest,сильнейший
agnes,Агнес
transmission,передача инфекции
20th,20-е
panel,панель
sole,подошва
sequence,последовательность
sexually,сексуально
o.k.,хорошо.
georgie,Джорджи
hugo,Хьюго
denny,Денни
smack,хлопать
congratulate,поздравлять
anxiety,беспокойство
choking,задыхаясь
tolerate,терпеть
mode,режим
communications,коммуникации
welfare,благосостояние
dice,игральная кость
orphan,сирота
locks,замки
settlement,урегулирование
advertising,реклама
uniforms,униформа
mcgee,МакГи
devoted,преданный
shoots,стреляет
principles,принципы
circuit,схема
nickname,прозвище
dot,точка
elderman,старейшина
scenario,сценарий
choir,хор
stunt,трюк
smoked,копченый
isolated,изолированный
equally,в равной степени
statements,заявления
gil,Гил
shaw,шоу
lipstick,помада
courtesy,учтивость
hobby,хобби
hesitate,сомневаться
hatch,люк
luis,Луис
sylvia,Сильвия
phoned,позвонил
experiences,опыт
popped,лопнул
quid,фунт
fragile,хрупкий
husbands,мужья
fiction,вымысел
persuade,убеждать
pastor,пастор
dolls,куклы
pose,поза
ji,джи
ming,Мин
rupees,рупии
tricked,обманули
ruins,руины
sadly,грустно
owed,задолжал
importantly,главное
louie,Луи
industrial,промышленный
musician,музыкант
labour,труд
evolution,эволюция
salute,отдать честь
ba,ба
cent,цент
bartender,бармен
calendar,календарь
hal,Хэл
miracles,чудеса
balcony,балкон
horny,роговой
regard,внимание
valerie,Валерия
fold,складывать
organs,органы
nigel,Найджел
theo,Тео
einstein,Эйнштейн
boris,Борис
suitable,подходящий
inaudible,неслышно
son-in-law,зять
melody,мелодия
phillip,Филипп
movements,движения
differences,различия
barbecue,барбекю
trading,торговля
strongly,сильно
fluid,жидкость
scholarship,стипендия
translation,перевод
cricket,крикет
shuttle,шаттл
moans,стоны
quicker,быстрее
picks,выбирает
murderers,убийцы
videos,видео
initial,исходный
perimeter,периметр
questioned,допрошен
yea,да
cousins,двоюродные братья
divided,разделенный
linked,связанный
laboratory,лаборатория
crab,краб
pulls,тянет
landlord,домовладелец
reggie,Реджи
hostile,враждебный
classified,классифицированный
cultural,культурный
measures,меры
update,обновлять
cottage,коттедж
backyard,задний двор
amateur,любитель
chopper,чоппер
rash,сыпь
despair,отчаяние
honorable,почетный
shiny,блестящий
hawk,ястреб
shorts,шорты
ni,нет
representative,представитель
wong,Вонг
pouring,заливка
distress,бедствие
tanner,кожевник
telegram,телеграмма
pimp,сутенер
dip,окунать
trophy,трофей
marilyn,Мэрилин
hallelujah,Аллилуйя
neal,Нил
es,эс
howdy,привет
misses,промахов
flush,румянец
magician,волшебник
dynamite,динамит
cuba,Куба
conquer,завоевывать
unpleasant,неприятный
jealousy,ревность
regrets,сожаления
lifted,поднят
increased,повысился
toxic,токсичный
broadway,Бродвей
sakes,ради
pudding,пудинг
rally,митинг
needing,нуждающийся
bloom,цвести
corporation,корпорация
buys,покупает
disorder,беспорядок
interrupting,прерывание
sadness,грусть
needn,не нужно
cease,прекратить
barnes,Барнс
scoundrel,негодяй
sensible,разумный
evans,Эванс
specialist,специалист
dragging,перетаскивание
bribe,подкупить
burke,Берк
bothers,беспокоит
interrogation,допрос
prescription,рецепт
referring,ссылаясь
knives,ножи
graduation,выпускной
t-shirt,Футболка
liking,симпатия
bubbles,пузыри
grid,сетка
haircut,стрижка
regardless,несмотря ни на что
lodge,домик
poisoning,отравление
feathers,перья
edgar,Эдгар
software,программное обеспечение
marina,Марина
sophia,София
queens,королевы
oak,дуб
trips,поездки
scaring,пугающий
avery,Эйвери
awhile,какое-то время
sofa,диван
conscious,сознательный
swords,мечи
instincts,инстинкты
deliberately,умышленно
starve,голодать
j.,Дж.
venus,Венера
olive,оливковый
maniac,маньяк
psychological,психологический
robinson,Робинзон
soo,ооо
belle,красавица
landscape,пейзаж
straw,солома
dam,плотина
mandy,Мэнди
sayin,говорю
accuse,обвинять
is-,является-
rehab,реабилитация
switzerland,Швейцария
agenda,повестка дня
glue,клей
salesman,продавец
diner,закусочная
projects,проекты
floors,полы
mainly,в основном
biological,биологический
sincere,искренний
weigh,взвешивать
pad,подушечка
swiss,швейцарский
cue,сигнал
witches,ведьмы
opposed,против
brand-new,совершенно новый
tourists,туристы
sneaking,крадется
harvard,Гарвард
spying,шпионаж
sketch,эскиз
parliament,парламент
behold,вот
blamed,обвиняемый
topic,тема
offices,офисы
sacrificed,принесенный в жертву
loop,петля
drivers,водители
battles,сражения
blond,блондинка
plead,умолять
races,гонки
tanya,Таня
salmon,лосось
bizarre,странный
rico,Рико
isabel,Изабель
wig,парик
reaches,достигает
heights,высоты
i-i-i,я-я-я
possibilities,возможности
wax,воск
travels,путешествия
confidential,конфиденциальный
pursuit,преследование
herd,стадо
scissors,ножницы
cd,CD
spies,шпионы
exams,Экзамены
invention,изобретение
explaining,объяснение
replacement,замена
bombing,бомбардировка
erik,Эрик
springs,источники
chelsea,Челси
sabrina,Сабрина
kicks,пинает
integrity,честность
dash,бросаться
jae,Джэ
senate,сенат
mentally,умственно
flee,бежать
gangster,гангстер
beautifully,красиво
roberts,Робертс
slim,стройный
choosing,выбирая
promising,многообещающий
objective,цель
joyce,Джойс
altogether,вообще
attract,привлекать
ernie,Эрни
melanie,Мелани
prep,подготовка
neighbours,соседи
nailed,прибитый
briefcase,портфель
buzzer,зуммер
quitting,уход
puppet,кукольный
restore,восстановить
dozens,десятки
betting,делать ставки
pancakes,блины
corridor,коридор
embarrass,смущать
visits,посещения
database,база данных
cheryl,Шерил
achieved,достигнуто
sucking,сосание
encourage,поощрять
grades,оценки
gps,GPS
barks,лает
patterns,узоры
relevant,соответствующий
mafia,мафия
hudson,Гудзон
expense,расходы
intact,нетронутый
occasionally,изредка
kiddo,малыш
heartbeat,сердцебиение
identical,идентичный
cigar,сигара
billions,миллиарды
alec,Алек
gained,получил
venice,Венеция
classical,классический
noodles,лапша
consistent,последовательный
clip,клип
resign,подать в отставку
insects,насекомые
failing,неудачный
organic,органический
seize,захватывать
charging,зарядка
mug,кружка
iris,Ирис
crow,ворона
ella,Элла
fountain,фонтан
observation,наблюдение
abortion,аборт
railroad,железная дорога
straighten,выпрямить
legitimate,законный
sting,жало
youngest,самый младший
fork,вилка
du,ты
flynn,Флинн
ciao,Чао
coroner,коронер
jonas,Джонас
marching,марширующий
touches,касается
jade,нефрит
feared,боялся
griffin,грифон
expedition,экспедиция
forcing,принуждение
neighbour,сосед
digital,цифровой
deeds,дела
milan,Милан
bernie,Берни
a-,а-
attic,чердак
jr,младший
whores,шлюхи
sentimental,сентиментальный
cooler,кулер
eun,Ын
bert,Берт
feds,федералы
reese,Риз
plea,просьба
polly,Полли
metres,метры
harmony,гармония
difficulty,трудность
bands,группы
dried,сушеный
aunty,тётя
maker,создатель
randall,Рэндалл
supporting,поддержка
brake,тормоз
girlfriends,подруги
features,функции
photography,фотография
vengeance,месть
inappropriate,неприличный
vacuum,вакуум
throws,бросает
kane,Кейн
residents,жители
endure,терпеть
substance,вещество
corrupt,коррумпированный
potter,гончар
investigator,следователь
thread,нить
priests,священники
gap,зазор
whining,нытье
scarf,шарф
institution,учреждение
immortal,бессмертный
marsh,болото
chapel,часовня
desperately,отчаянно
accidents,несчастные случаи
alcoholic,алкоголик
fabric,ткань
nazis,нацисты
railway,Железнодорожный
sal,Сал
dame,дама
rebels,мятежники
custom,обычай
pension,пенсия
cans,банки
possess,владеть
kira,Кира
poster,плакат
developing,развивающийся
addict,наркоман
feature,особенность
cope,справляться
lords,лорды
delightful,восхитительный
wrestling,борьба
c.,в.
rio,Рио
reduce,уменьшать
rescued,спасен
peg,колышек
mercedes,Мерседес
guaranteed,гарантированный
emotionally,эмоционально
poland,Польша
accountant,бухгалтер
theories,теории
me-,мне-
tumor,опухоль
automatic,автоматический
amusing,занимательный
unnecessary,ненужный
higgins,Хиггинс
voting,голосование
buster,разрушитель
stadium,стадион
visible,видимый
easter,Пасха
jeep,джип
dj,диджей
les,ле
garcia,Гарсия
tracked,отслеживаются
ignorant,невежественный
pledge,приносить присягу
deserted,пустынный
esther,Эстер
rum,ром
fisher,рыбак
wheelchair,инвалидная коляска
salvation,спасение
lester,Лестер
wonders,чудеса
clattering,грохот
don`t,не надо
maintenance,обслуживание
tobacco,табак
underwater,под водой
divide,разделять
slightest,малейший
discount,скидка
yoga,йога
vagina,влагалище
rushing,стремительный
modest,скромный
make-up,составить
wes,Уэс
reduced,уменьшенный
t.,т. е.
whisper,шепот
pressing,нажатие
tops,топы
variety,разнообразие
ignored,игнорируется
helena,Елена
writers,писатели
grain,зерно
essentially,по сути
archie,Арчи
ofthe,принадлежащий
individuals,люди
meredith,Мередит
gavin,Гэвин
subtle,тонкий
interviews,интервью
pinky,мизинец
cord,шнур
sites,места
brennan,Бреннан
maddie,Мэдди
vienna,Вена
issued,изданный
lasted,длился
explosive,взрывной
origin,источник
unto,к
rogue,негодяй
x-ray,Рентгеновский
superintendent,суперинтендант
cody,Коди
jacques,Жак
ol,ол
challenges,вызовы
corruption,коррупция
sullivan,Салливан
shutter,затвор
erase,стереть
ski,лыжи
forensics,криминалистика
flavor,вкус
fastest,самый быстрый
joon,Джун
vet,ветеринар
civilians,гражданское население
lobster,Омар
housing,Корпус
canal,канал
robots,роботы
shade,оттенок
ambitious,амбициозный
orchestra,оркестр
succeeded,удалось
guidance,руководство
hence,следовательно
bella,Белла
seoul,Сеул
jose,Хосе
inevitable,неизбежный
tick,галочка
rival,соперник
refuses,отказывается
fiancé,жених
purchase,покупка
wander,бродить
ireland,Ирландия
hanna,Ханна
hanged,повешенный
napoleon,Наполеон
elite,элита
craft,ремесло
cult,культ
whisky,виски
profits,прибыль
shelf,полка
kai,Кай
allowing,позволяя
chart,диаграмма
accusing,обвиняющий
buzzes,жужжит
weekends,выходные
humiliated,униженный
fiancée,невеста
hissing,шипение
treats,лечит
granddaughter,внучка
serena,Серена
submit,представлять на рассмотрение
supervisor,руководитель
sniffing,нюхать
resident,резидент
tearing,рвущий
obliged,обязан
opportunities,возможности
knights,рыцари
hangs,висит
jerusalem,Иерусалим
stew,тушить
counted,посчитал
instruments,инструменты
triumph,триумф
nun,монахиня
frequency,частота
resume,резюме
marines,морские пехотинцы
distract,отвлекать
satisfaction,удовлетворение
historical,исторический
creates,создает
costumes,костюмы
swedish,шведский
lizzie,Лиззи
depending,в зависимости
sour,кислый
spark,искра
freely,свободно
scotty,Скотти
freaks,уроды
d.a.,д.а.
shan,Шань
globe,глобус
peak,вершина горы
sentenced,приговорен
fierce,яростный
scam,мошенничество
hollow,пустой
anton,Антон
hoo,ого-го
concentration,концентрация
presume,предполагать
invest,вкладывать деньги
eleanor,Элеонора
radical,радикальный
protective,защитный
smiles,улыбки
stunning,оглушительный
frustrated,расстроенный
suspenseful,тревожный
breed,порода
adore,обожать
controlling,контроль
reagan,Рейган
pasta,макаронные изделия
precinct,участок
swallowed,проглотил
execute,выполнять
4th,4-й
towels,полотенца
architect,архитектор
delta,дельта
honks,сигналит
whoo-hoo,ууу-ууу
preserve,сохранять
dose,доза
stove,печь
codes,коды
instantly,немедленно
bugger,педераст
vivian,Вивиан
yoon,Юн
doo,ду
haul,вытаскивать
orphanage,Сиротство
bolt,болт
autograph,автограф
sharply,резко
habits,привычки
villagers,жители деревни
cracks,трещины
dwight,Дуайт
omar,Омар
assembly,сборка
meds,лекарства
marge,Мардж
magnetic,магнитный
romans,римляне
joshua,Джошуа
sorted,отсортированный
assets,ресурсы
insulted,оскорбил
outstanding,выдающийся
essence,сущность
wardrobe,гардероб
ling,Лин
nam,нам
benson,Бенсон
restaurants,рестораны
disco,дискотека
flirting,флирт
abilities,способности
dolly,Долли
handful,горстка
mice,мыши
pumpkin,тыква
bennett,Беннетт
sweating,потливость
anchor,якорь
thankful,благодарен
interior,интерьер
moore,Мур
urge,побуждать
surrounding,окружающий
strain,напряжение
curtains,шторы
gypsy,цыган
tomato,помидор
blanche,Бланш
bonds,облигации
compassion,сострадание
greece,Греция
ceo,Генеральный директор
arabic,арабский
examination,обследование
participate,участвовать
veins,вены
cups,чашки
additional,дополнительный
sofia,София
obsession,одержимость
responsibilities,обязанности
ridge,хребет
intent,намерение
axe,топор
reckless,безрассудный
missiles,ракеты
razor,бритва
corners,углы
frightening,пугающий
rains,дожди
mutant,мутант
wally,Уолли
whereas,тогда как
heavenly,небесный
promoted,продвинутый
dang,черт возьми
maiden,дева
comments,Комментарии
batteries,батарейки
bark,лаять
seas,моря
congressman,конгрессмен
canyon,каньон
casual,повседневный
rack,стойка
expectations,ожидания
flowing,текущий
adjust,регулировать
decade,десятилетие
pine,сосна
tails,решка
baxter,Бакстер
wires,провода
pigeon,голубь
finance,финансы
respectable,респектабельный
demonstration,демонстрация
prank,шутка
appointed,назначен
treason,измена
views,Просмотры
violin,скрипка
stir,помешивать
lifestyle,Стиль жизни
realm,область
monty,Монти
roosevelt,Рузвельт
missy,Мисси
fitting,примерка
señor,сеньор
tuna,тунец
tuck,заправить
inspection,инспекция
nursing,уход за больными
jared,Джаред
poop,какать
cardinal,кардинал
altar,алтарь
herman,Герман
carlo,Карло
tourist,турист
conviction,убеждение
jelly,желе
thrill,трепет
lounge,бездельничать
cha,ча
zip,молния
hogan,Хоган
dimension,измерение
choke,душить
backing,поддержка
pains,боли
bodyguard,телохранитель
rug,коврик
jaw,челюсть
ants,муравьи
popcorn,Попкорн
courtroom,зал суда
reynolds,Рейнольдс
pointless,бессмысленный
documentary,документальный
donor,донор
mortgage,ипотека
tunnels,туннели
enforcement,исполнение
demanding,требовательный
cocks,петухи
eliminated,устранен
agh,ах
rapidly,быстро
refer,ссылаться
shipment,отгрузка
tasted,попробовал
fails,терпит неудачу
michel,Мишель
rushed,бросился
ordering,заказ
efficient,эффективный
outrageous,возмутительный
gracious,милостивый
slaughter,резня
marijuana,марихуана
monroe,Монро
pipes,трубы
backed,поддержанный
vest,жилет
approached,приблизился
mechanic,механик
mumbai,Мумбаи
arizona,Аризона
legendary,легендарный
delayed,отложенный
resolve,решать
relation,связь
amelia,Амелия
mechanical,механический
fare,плата за проезд
karma,карма
jefferson,Джефферсон
chorus,Припев
nana,бабуля
extend,продлевать
info,Информация
saddle,седло
pretended,притворился
equals,равно
motherfuckers,ублюдки
artificial,искусственный
accomplish,выполнить
burial,захоронение
lynn,Линн
detention,задержание
vow,клятва
bake,выпекать
breakdown,авария
dvd,DVD
delhi,Дели
selected,выбрано
lightly,слегка
dealers,дилеры
e.,е.
layer,слой
gown,платье
courtney,Кортни
incoming,входящий
reid,Рид
countryside,сельская местность
cheaper,более дешевый
smelled,пахло
devon,Девон
ducks,утки
lethal,смертельный
swan,лебедь
attending,посещение
moonlight,лунный свет
ropes,веревки
dispatch,отправлять
notebook,блокнот
punched,пробитый
identification,идентификация
contracts,контракты
scattered,разбросанный
trusting,доверчивый
susie,Сюзи
prayed,молился
volunteers,волонтеры
remembering,вспоминая
adopt,усыновить
calvin,Кальвин
worms,черви
consideration,рассмотрение
bandits,бандиты
moses,Моисей
zombies,зомби
lionel,Лайонел
non,нет
transplant,пересадка
crackling,треск
loneliness,одиночество
frasier,фрейзер
epic,эпический
gladly,с радостью
marcel,Марсель
mon,понедельник
frost,мороз
registration,Регистрация
prophet,пророк
launched,запущен
constitution,конституция
roland,Роланд
claude,Клод
sock,носок
dragons,драконы
buyer,покупатель
regulations,нормативно-правовые акты
mimi,Мими
volcano,вулкан
accomplice,сообщник
bounty,награда
hotels,гостиницы
favors,благосклонность
opinions,мнения
pressed,прессованный
asylum,убежище
blunt,тупой
duel,дуэль
niles,Найлс
consult,проконсультироваться
nevertheless,тем не менее
carnival,карнавал
au,ау
baba,баба
hah,хаха
paths,пути
rides,едет
tray,поднос
cynthia,Синтия
te,тэ
handcuffs,наручники
shannon,Шеннон
barrier,барьер
supposedly,предположительно
faggot,педик
hunch,догадка
disposal,утилизация
yacht,яхта
stain,пятно
thoughtful,вдумчивый
healed,исцелённый
thinkin,думаю
syndrome,синдром
hairy,волосатый
kansas,Канзас
happiest,самый счастливый
entertain,развлекать
y-you,т-ты
ambush,засада
recommended,рекомендуемые
childish,детский
meter,метр
gilbert,Гилберт
lease,арендовать
climbed,поднялся
nadia,Надя
unstable,нестабильный
exploded,взорвался
apollo,Аполлон
rogers,Роджерс
politician,политик
rs,РС
awaits,ждет
abraham,Авраам
evelyn,Эвелин
particles,частицы
violation,нарушение
lined,на подкладке
amazed,поражен
lure,приманка
lyrics,текст песни
pod,стручок
fran,Фрэн
universal,универсальный
d.c.,Округ Колумбия.
hulk,Халк
drunken,пьяный
hyah,хах
continuing,продолжение
goals,цели
warming,потепление
dc,Округ Колумбия
chemicals,химикаты
owl,сова
xena,Зена
compromised,скомпрометирован
grounded,заземленный
cane,трость
avenge,отомстить
dexter,Декстер
phantom,призрак
notion,понятие
directors,режиссеры
tease,дразнить
forensic,судебно-медицинский
doe,лань
outcome,исход
slam,хлопнуть
shattered,разбитый
cheque,проверять
baked,запеченный
sought,искал
racket,ракетка
hammond,Хаммонд
rider,всадник
exotic,экзотика
cory,Кори
extent,степень
eighth,восьмой
stack,куча
wheat,пшеница
shipping,перевозки
satisfy,удовлетворить
kara,Кара
departure,отправление
finch,зяблик
blocking,блокировка
regiment,полк
kin,родственник
klaus,Клаус
surf,заниматься серфингом
kilometers,километры
rises,поднимается
frighten,пугать
abused,злоупотребляли
gerald,Джеральд
colours,цвета
hath,имеет
marvin,Марвин
texts,тексты
spaghetti,спагетти
chester,Честер
bosses,боссы
elephants,слоны
snarling,рычание
contained,содержался
laurie,Лори
arab,араб
bumped,наткнулся
chili,перец чили
yah,да
sustained,устойчивый
abducted,похищен
panicked,в панике
shallow,мелкий
diving,дайвинг
artie,Арти
harriet,Гарриет
generator,генератор
federation,федерация
mulder,Малдер
arresting,арест
techniques,методы
feather,перо
printed,напечатанный
untie,развязать
jupiter,Юпитер
hay,сено
stalking,преследование
conrad,Конрад
phony,фальшивый
brett,Бретт
whack,ударить
scored,забил
continent,континент
articles,статьи
oxford,Оксфорд
z,я
organize,организовать
sensors,датчики
shanghai,Шанхай
wh,что
sniper,снайпер
noisy,шумный
framed,в рамке
horizon,горизонт
twilight,сумерки
reflection,отражение
masks,маски
godfather,крестный отец
merchant,торговец
wages,заработная плата
robe,халат
waist,талия
stinking,вонючий
disappointment,разочарование
venture,риск
voyage,путешествие
curry,карри
ominous,зловещий
sunlight,Солнечный лучик
oui,да
overseas,за границей
casualties,жертвы
aaah,ааа
mattress,матрас
grill,гриль
marketing,маркетинг
accepting,принятие
occupation,занятие
deadline,крайний срок
freed,освобожден
exhibit,выставка
poems,стихи
echoing,эхом
shin,голень
compliments,комплименты
til,пока
define,определять
urine,моча
foreman,мастер
facial,уход за лицом
p.a.,в год
combined,комбинированный
brody,Броуди
probation,испытательный срок
reject,отклонять
catches,ловит
dances,танцы
gemma,Джемма
pinch,ущипнуть
ingredients,ингредиенты
ra,ра
hurricane,ураган
chatting,болтать
mini,мини
heel,каблук
adding,добавление
bandit,бандит
destined,предназначенный
limo,лимузин
spa,спа
graves,могилы
turkish,турецкий
listed,внесен в список
corpses,трупы
matty,Мэтти
evacuate,эвакуируюсь
publish,публиковать
judith,Джудит
banned,запрещен
snaps,щелкает
cheeks,щеки
predict,предсказывать
ohio,Огайо
holland,Голландия
confront,противостоять
utterly,крайне
pals,приятели
pilots,пилоты
umm,хмм
jonah,Иона
ironic,ироничный
improved,улучшен
popping,выскакивают
mills,мельницы
farther,дальше
delivering,доставка
skipper,шкипер
flattered,польщенный
coconut,кокос
acknowledge,сознавать
shuts,закрывается
sweden,Швеция
hooray,Ура
sip,глоток
blessings,благословения
grocery,бакалея
terminal,Терминал
parks,парки
meaningless,бессмысленный
awards,награды
fade,тускнеть
hiring,найм
burton,Бертон
fees,сборы
wretched,несчастный
krishna,Кришна
thoroughly,тщательно
exhibition,выставка
spends,тратит
denver,Денвер
80s,80-е
winners,победители
doris,Дорис
luther,Лютер
disappearance,исчезновение
madrid,Мадрид
supported,поддерживается
advised,посоветовал
regina,Регина
supermarket,супермаркет
hereby,настоящим
pier,пирс
shorter,короче
betrayal,предательство
philadelphia,Филадельфия
christians,христиане
psychology,психология
danielle,Даниэль
trent,Трент
keeper,хранитель
detroit,Детройт
canadian,канадец
su,Су
associates,партнеры
gerry,Джерри
restless,беспокойный
collector,коллектор
marvellous,чудесный
physician,врач
exposure,контакт
grudge,обида
lid,крышка
followers,последователи
glow,светиться
submarine,подводная лодка
towns,города
pawn,пешка
edith,Эдит
includes,включает
lu,Лу
proposition,предложение
joker,шутник
spilled,пролитый
opposition,оппозиция
jang,чан
haley,Хейли
hose,шланг
partnership,партнерство
usa,США
timmy,Тимми
breathes,дышит
whoops,упс
astronaut,космонавт
porch,порог
leonardo,Леонардо
responding,отвечая
wishing,желая
boil,кипятить
kneel,становиться на колени
tammy,Тэмми
clumsy,неуклюжий
rapid,стремительный
xiao,Сяо
stevens,Стивенс
invested,вложено
janice,Дженис
roller,ролик
thai,тайский
justify,оправдывать
garlic,чеснок
yelled,кричал
simone,Симона
ammunition,боеприпасы
sushi,суши
shaft,вал
definition,определение
gardens,сады
chandler,Чандлер
ne,пе
notify,поставить в известность
brady,Брейди
beasts,звери
setup,настраивать
greed,жадность
dared,осмелился
unlucky,несчастливый
classroom,класс
